supplementary_data_3._evidence_from_recent_studies_reporting_associations_between_health-prevalent/-scarce_species_and_human_health/disease.,unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6
Species group,Health-prevalent or Health-scarce Species Name,Pathophysiological Association,Remarks,Author (Year),Publication Title,Journal
Health-prevalent,Alistipes senegalensis,Commensal,Found to be significantly higher in control groups against liver cirrhosis (LC) samples. Proposed to be the potential candidate probiotic for LC prevention and remission.,Luo (2019),Major Traditional Probiotics Comparative Genomic Analyses and Roles in Gut Microbiome of Eight Cohorts,Frontiers in Microbiology
,,,Missing in children suffering from severe acute malnutrition. Proposed as a probiotic candidate providing a possible alternative to fecal transplantation for restoring healthy gut microbiota in malnourished children.,Tidjani Alou (2017),"Gut Bacteria Missing in Severe Acute Malnutrition, Can We Identify Potential Probiotics by Culturomics",Frontiers in Microbiology
,Bacteroidales bacterium-ph8, -, -, -, -, -
,Bifidobacterium adolescentis,Commensal Probiotic,Considered to be as an important probiotic.,Fijan (2014),Microorganisms with Claimed Probiotic Properties An Overview of Recent Literature,International Journal of Environmental Research and Public Health
,Bifidobacterium angulatum,Commensal,"Along with B.adolescentis, it represents an vital commensal group of the human intestinal microbiota. ",Turroni (2012),Diversity of Bifidobacteria within the Infant Gut Microbiota,PLoS One
,,,"Able to synthesize and secrete GABA, thereby playing an important role in microbiome derived chemical communication through gut brain axis.",Dyachkova (2015),Draft Genome Sequences of Bifidobacterium angulatum GT102 and Bifidobacterium adolescentis 150 Focusing on the Genes Potentially Involved in the Gut-Brain Axis,Genome Announcements
,Bifidobacterium catenulatum,Commensal,"Abundant in fecal samples of healthy humans and have a number of probiotic properties, such as the possession of antinutrient-degrading enzymes, the ability to bind mutagenic aromatic amines, and the capacity to reduce cholesterol levels.",Alegría (2014),"The genome of Bifidobacterium pseudocatenulatum IPLA 36007, a human intestinal strain with isoflavone-activation activity",Gut Pathogens
,Lachnospiraceae bacterium-8-1-57FAA, -, -, -, -, -
,Sutterella wadsworthensis,Inflammatory Bowel Disease (IBD) Autism Spectrum Disorder (ASD),Known to be associated with GI infections in humans.,Molitoris (1997),Sources and antimicrobial susceptibilities of Campylobacter gracilis and Sutterella wadsworthensis,Clinical Infectious Diseases
,,,"Association of this species with IBD are not well established. One study reported enrichment of S. wadsworthensis in IBD, which are contradicted in another study that showed the abundance of S. wadsworthensis in colonic biopsies of adults with IBD was not different from controls.",Hiippala (2016),Mucosal Prevalence and Interactions with the Epithelium Indicate Commensalism of Sutterella spp.,Frontiers in Microbiology
,,,,Engberg (2000),"Prevalence of Campylobacter, Arcobacter, Helicobacter, and Sutterella spp. in Human Fecal Samples as Estimated by a Reevaluation of Isolation Methods for Campylobacters",Journal of Clinical Microbiology
,,,,Mukhopadhya (2011),A Comprehensive Evaluation of Colonic Mucosal Isolates of Sutterella wadsworthensis from Inflammatory Bowel Disease,PLoS One
,,,Numbers of these species are elevated in fecal samples of children having ASD relative to control samples.,Wang (2013),Increased abundance of Sutterella spp. and Ruminococcus torques in feces of children with autism spectrum disorder,Molecular Autism
